pco2_psig,velocidad_fts,conductividad_uscm,cl_ppm,ph_xx,temperatura_f,presion_psig,anos_y,agua_bwpd,crudo_bopd,fe_total,so4_ppm,n2_mol,metano_mol,velcorr_mpy,espesormin_mm,co2_mol,na_ppm,ba_ppm,mg_ppm,ca_ppm,sr_ppm,hco3_megl,sst_ppm,sdt_ppm,alcalinidad_ppm,patronflujo_xx,fault_xx,diametronom_in,diametroint_in,diametroext_in,durezatotal_ppm,espesor_mm,flujogas_mmscfd,velcorrcal_cmpy,desgaste_xx,vidaremanenteactual_yr,vidaremanenteinstalacion_yr
30.3487464,,786.4499999999999,8.68,7.631,248.19,73.96,16.51745379876797,17177.17,122.8300000000017,0.98685,116.6,36.099,4.1912,1.6197005707454162,6.43,41.034,57.5285,1.2625,0.0,12.375,0.4065,3.0,17.5,279.1,0.0,0.0,0,6.0,6.065,6.625,0.0,7.11,3684.9,1.620809954697981,0.09563994374120964,156.29407735697006,156.18709989129113
50.44349639999999,,700.2399999999999,13.556,7.4444,248.32,120.45,7.323750855578371,9287.2,112.7999999999993,1.03008,120.28,36.9654,7.4404,3.384354993009051,4.86,41.8792,49.4096,1.078,0.0,14.044,0.8004,2.36,41.24,279.64,0.0,2.0,0,3.0,3.068,3.5,0.0,5.49,3384.0,3.3866730443741258,0.11475409836065571,56.5362035225049,56.49750660017602
78.581853,,401.0,7.6,7.78,249.01,174.51,5.201916495550993,15864.0,136.0,0.862,91.0,29.69,5.12,-4.916079569001241,6.14,45.03,60.01,1.38,0.0,4.1,0.19,4.0,26.0,305.0,0.0,0.0,0,4.0,4.026,4.5,0.0,5.49,4080.0,-4.919446746788226,-0.11839708561020026,-49.17175974710224,-49.13810351182019
24.29789,,582.0,12.6,7.12,245.62,102.35,6.406570841889117,7448.0,152.0,1.532,61.0,37.45,8.41,3.8688673531193216,5.39,23.74,52.29,0.93,0.0,0.072,0.14,4.0,93.0,284.0,0.0,1.0,0,3.0,3.068,3.5,0.0,6.02,4560.0,3.871517262265294,0.10465116279069767,54.849315068493155,54.81177275838467
69.089529,,401.0,7.6,7.78,249.72,153.43,7.939767282683094,16621.51,78.4900000000016,0.862,91.0,29.69,5.12,2.130735813195763,5.59,45.03,60.01,1.38,0.0,4.1,0.19,4.0,26.0,305.0,0.0,1.0,0,3.0,3.068,3.5,0.0,6.02,2354.7,2.132195221286993,0.07142857142857138,103.28767123287678,103.21697467488029
22.26487,,659.0,116.2,7.52,247.43,116.57,26.40383299110199,6969.2,30.80000000000018,1.862,79.00000000000001,29.51,29.18,4.2317527604777325,2.65,19.1,140.1,2.06,0.0,32.5,1.52,5.0,21.0,610.0,0.0,1.0,0,3.0,3.068,3.5,0.0,5.49,924.0,4.234651221272579,0.517304189435337,24.654254292880566,24.637379375500092
,,,,,245.93,145.52,7.912388774811773,16942.0,258.0,,,,,-0.4475111026346615,5.58,,,,,,,,,,,,0,4.0,4.026,4.5,,5.49,7740.0,-0.4478176170885207,-0.016393442622950793,-490.9041095890417,-490.5681040383307
,,,,,248.53,150.65,8.396988364134154,18405.65,94.34999999999854,,,,,39.148245145505605,3.53,,,,,,,,,,,,0,4.0,4.026,4.5,,6.02,2830.5,11.674601870560116,0.41362126245847175,3.5500027507289436,11.904164227065689
65.554676,,711.0,69.7,7.41,171.92,132.22,13.14989733059548,1238.25,61.75,0.984,496.0,23.21,8.82,6.688471063825044,5.69,49.58,204.0,5.27,0.0,2.4,0.12,5.0,52.0,588.0,0.0,1.0,0,6.0,6.065,6.625,0.0,6.02,1852.5,0.9880020853108518,0.05481727574750817,33.492818596928274,226.7361085184499
38.90665,,977.0,9.6,7.26,246.04,84.25,20.04928131416838,4500.72,59.27999999999975,1.562,124.0,38.77,5.5,18.67298367365093,5.79,46.18,46.77,0.97,0.0,4.8,0.37,4.0,42.0,297.0,0.0,1.0,0,6.0,6.065,6.625,0.0,6.02,1778.4,0.45164302741550905,0.03820598006644511,12.207623585467562,504.71886438710936
