pCO2,u,sigma,Cl,pH,T,P,t_s,Qw,Qo,Fe,SO4,yN2,yCH4,v,yCO2,Na,Ba,Mg,Ca,Sr,HCO3,TSS,TDS,Alk,FP,D,Di,De,TH,e,Qg
30.3487464,,786.4499999999999,8.68,7.631,248.19,73.96,16.51745379876797,17177.17,122.8300000000017,0.98685,116.6,36.099,4.1912,1.6197005707454162,41.034,57.5285,1.2625,0.0,12.375,0.4065,3.0,17.5,279.1,0.0,0.0,6.0,6.065,6.625,0.0,7.11,3684.9
50.44349639999999,,700.2399999999999,13.556,7.4444,248.32,120.45,7.323750855578371,9287.2,112.7999999999993,1.03008,120.28,36.9654,7.4404,3.384354993009051,41.8792,49.4096,1.078,0.0,14.044,0.8004,2.36,41.24,279.64,0.0,2.0,3.0,3.068,3.5,0.0,5.49,3384.0
24.29789,,582.0,12.6,7.12,245.62,102.35,6.406570841889117,7448.0,152.0,1.532,61.0,37.45,8.41,3.8688673531193216,23.74,52.29,0.93,0.0,0.072,0.14,4.0,93.0,284.0,0.0,1.0,3.0,3.068,3.5,0.0,6.02,4560.0
69.089529,,401.0,7.6,7.78,249.72,153.43,7.939767282683094,16621.51,78.4900000000016,0.862,91.0,29.69,5.12,2.130735813195763,45.03,60.01,1.38,0.0,4.1,0.19,4.0,26.0,305.0,0.0,1.0,3.0,3.068,3.5,0.0,6.02,2354.7
22.26487,,659.0,116.2,7.52,247.43,116.57,26.40383299110199,6969.2,30.80000000000018,1.862,79.00000000000001,29.51,29.18,4.2317527604777325,19.1,140.1,2.06,0.0,32.5,1.52,5.0,21.0,610.0,0.0,1.0,3.0,3.068,3.5,0.0,5.49,924.0
,,,,,248.53,150.65,8.396988364134154,18405.65,94.34999999999854,,,,,20.0,,,,,,,,,,,,4.0,4.026,4.5,,6.02,2830.5
65.554676,,711.0,69.7,7.41,171.92,132.22,13.14989733059548,1238.25,61.75,0.984,496.0,23.21,8.82,6.688471063825044,49.58,204.0,5.27,0.0,2.4,0.12,5.0,52.0,588.0,0.0,1.0,6.0,6.065,6.625,0.0,6.02,1852.5
38.90665,,977.0,9.6,7.26,246.04,84.25,20.04928131416838,4500.72,59.27999999999975,1.562,124.0,38.77,5.5,18.67298367365093,46.18,46.77,0.97,0.0,4.8,0.37,4.0,42.0,297.0,0.0,1.0,6.0,6.065,6.625,0.0,6.02,1778.4
49.130902,,977.0,9.6,7.26,248.54,106.39,20.92265571526352,17461.05,238.9500000000007,1.562,124.0,38.77,5.5,0.094020405261433,46.18,46.77,0.97,0.0,4.8,0.37,4.0,42.0,297.0,0.0,0.0,6.0,6.065,6.625,0.0,5.49,7168.5
30.582594,,462.0,3.7,7.26,242.43,84.18,21.09240246406571,1759.5,40.5,0.974,86.0,35.15,4.22,4.327438042207339,36.33,52.03,1.05,0.0,3.7,0.17,3.0,67.0,294.0,0.0,1.0,4.0,4.026,4.5,0.0,6.02,1215.0
32.086362,,802.0,8.5,7.63,240.49,73.29,6.767967145790554,2965.6,404.4000000000001,0.984,119.0,35.61,3.25,0.232525545957241,43.78,57.0,1.27,0.0,12.7,0.41,3.0,15.0,279.0,0.0,1.0,3.0,3.068,3.5,0.0,5.49,12132.0
32.754822,,401.0,7.6,7.78,248.77,72.74,22.1492128678987,13018.5,131.5,0.862,91.0,29.69,5.12,6.664033142568812,45.03,60.01,1.38,0.0,4.1,0.19,4.0,26.0,305.0,0.0,0.0,6.0,6.065,6.625,0.0,5.49,3945.0
44.23850865,,619.1700000000002,15.965,7.358699999999999,249.34,114.03,27.91786447638604,27244.25,255.75,1.03567,117.51,37.3811,11.0632,3.7626861073080784,38.7955,46.34499999999999,1.0245,0.0,14.277,0.9736,2.07,55.94,278.67,0.0,0.0,3.0,3.068,3.5,0.0,7.11,7672.5
70.503471,,401.0,7.6,7.78,249.19,156.57,10.362765229295,17276.0,224.0,0.862,91.0,29.69,5.12,11.351792716795474,45.03,60.01,1.38,0.0,4.1,0.19,4.0,26.0,305.0,0.0,0.0,4.0,4.026,4.5,0.0,6.02,6720.0
34.597059,,462.0,3.7,7.26,247.72,95.23,7.353867214236824,9587.275,62.72500000000036,0.974,86.0,35.15,4.22,0.3209995250965909,36.33,52.03,1.05,0.0,3.7,0.17,3.0,67.0,294.0,0.0,0.0,4.0,4.026,4.5,0.0,6.02,1881.8
69.66273600000001,,802.0,8.5,7.63,248.93,159.12,6.940451745379876,12301.908,58.09199999999873,0.984,119.0,35.61,3.25,20.0,43.78,57.0,1.27,0.0,12.7,0.41,3.0,15.0,279.0,0.0,0.0,3.0,3.068,3.5,0.0,5.49,1742.8
55.72756200000001,,794.0500000000001,8.895,7.6155,249.04,127.29,19.26351813826146,26252.16,147.8400000000001,0.9876,119.1,35.61,3.25,2.0409070315591498,43.78,56.407,1.255,0.0,12.805,0.4405,2.95,17.05,279.05,0.0,0.0,6.0,6.065,6.625,0.0,7.11,4435.2
59.907514,,711.0,69.7,7.41,249.21,120.83,28.11772758384668,18236.24,163.7599999999984,0.984,496.0,23.21,8.82,0.2238765918622382,49.58,204.0,5.27,0.0,2.4,0.12,5.0,52.0,588.0,0.0,0.0,6.0,6.065,6.625,0.0,6.02,4912.8
39.845322,,643.0,16.4,7.34,247.66,98.97,9.763175906913071,8977.15,122.8500000000004,1.056,121.0,38.12,11.01,13.136976077653786,40.26,45.14,0.97,0.0,14.8,1.02,2.0,56.0,280.0,0.0,0.0,6.0,6.065,6.625,0.0,7.11,3685.5
49.37610299999999,,462.0,3.7,7.26,212.47,135.91,10.362765229295,7133.995,416.0050000000001,0.974,86.0,35.15,4.22,9.643328929986788,36.33,52.03,1.05,0.0,3.7,0.17,3.0,67.0,294.0,0.0,0.0,4.0,4.026,4.5,0.0,6.02,12489.0
9.2746,,491.0,12.1,7.65,249.48,39.5,2.532511978097194,8503.056,244.9439999999995,1.041,71.0,38.2,9.33,1.3981698233666715,23.48,67.57,1.12,0.0,6.2,0.34,3.0,65.0,281.0,0.0,2.0,3.0,3.068,3.5,0.0,5.49,7348.3
16.80051497891831,7.575972976995097,633.999335030023,18.65777590937126,7.420486346847773,235.61,39.69,24.58590006844627,38071.43,828.5699999999997,1.145920562034326,99.8252915446728,31.79244780594679,11.64725022222222,20.0,42.32933983098591,50.09898320844469,1.002030100879774,0.0,9.721969473766295,0.7614114320957898,2.674602258629368,33.97643992939125,288.5413334845703,0.0,1.0,8.0,7.981,8.625,0.0,8.18,24844.8
24.29789,,582.0,12.6,7.12,245.62,102.35,7.583561643835616,7448.0,152.0,1.532,61.0,37.45,8.41,13.497906331072777,23.74,52.29,0.93,0.0,0.072,0.14,4.0,93.0,284.0,0.0,1.0,3.0,3.068,3.5,0.0,6.02,4560.0
27.1823,,506.98,8.728,7.337800000000001,248.3,114.5,17.7741273100616,12940.2,59.79999999999927,1.18715,74.31,37.45,8.41,7.1717583361229575,23.74,54.99435,1.5592,0.0,2.14594,0.12185,4.0,61.54,271.295,0.0,0.0,6.0,6.065,6.625,0.0,7.11,1794.0
47.86238700000001,,401.0,7.6,7.78,244.21,106.29,9.224657534246576,3822.0,78.0,0.862,91.0,29.69,5.12,7.383497540977858,45.03,60.01,1.38,0.0,4.1,0.19,4.0,26.0,305.0,0.0,1.0,3.0,3.068,3.5,0.0,5.49,2340.0
23.94090232515775,0.3838393086105978,747.3063523752147,29.93233406560999,7.403262805145675,162.19,67.92,29.00821917824075,4284.015,165.9849999999997,1.24767147081626,106.0884031108126,42.96088709210551,4.737615638447732,1.8593698407544517,35.24867833503791,75.83422708333094,1.154043342176716,0.0,13.78348875492617,0.8119167139939338,4.352473132896119,72.98339532917315,384.5457054681137,0.0,2.0,12.0,12.0,12.75,0.0,9.53,4981.6
12.603236,1.747329678102972,977.0,69.7,7.78,204.83,25.42,29.03561643835618,30663.1329,980.967099999998,1.562,496.0,38.77,12.49,3.74234924729521,49.58,204.0,5.27,0.0,6.2,0.37,5.0,93.0,588.0,0.0,1.0,16.0,15.25,16.0,0.0,9.53,29463.5
27.504324,3.210328020314902,802.0,116.2,7.81,214.51,61.08,29.03561643851472,77937.50559000002,954.5944099999906,1.862,119.0,53.6995,29.18,1.667786077589844,45.03,140.1,2.06,0.0,32.5,1.52,5.0,92.0,610.0,0.0,1.0,18.0,17.25,18.0,0.0,9.53,28671.6
70.989795,,401.0,7.6,7.78,248.84,157.65,8.849315068493151,18981.12,218.880000000001,0.862,91.0,29.69,5.12,12.501523609858362,45.03,60.01,1.38,0.0,4.1,0.19,4.0,26.0,305.0,0.0,0.0,6.0,6.065,6.625,0.0,6.02,6566.4
20.84592,,652.0,36.4,7.81,248.82,82.2,18.79178082191781,14243.756,202.2440000000006,0.8970000000000001,101.0,46.93,15.59,5.279574052368689,25.36,74.17,0.93,0.0,19.6,0.97,2.0,76.0,289.0,0.0,0.0,4.0,4.026,4.5,0.0,6.02,6067.3
20.637687,,458.0,6.2,7.48,247.94,77.79,10.73150684931507,8100.555,69.44499999999971,0.962,83.0,27.53,12.49,5.246160990151949,26.53,56.76,1.97,0.0,3.5,0.11,4.0,41.0,263.0,0.0,0.0,4.0,4.026,4.5,0.0,6.02,2083.3
,,,,,248.53,150.65,10.0986301369863,18405.65,94.34999999999854,,,,,10.370159915577563,,,,,,,,,,,,4.0,4.026,4.5,,6.02,2830.5
,,,,,244.19,100.08,28.29041095890411,6872.8,227.1999999999998,,,,,4.328001634891511,,,,,,,,,,,,4.0,4.026,4.5,,5.49,6816.0
36.11408,,804.0,19.4,7.289999999999999,245.2,137.84,21.98356164383562,4947.0,153.0,1.124,129.0,46.62,13.96,2.525150925177223,26.2,96.07,1.13,0.0,26.6,1.49,5.0,46.0,484.0,0.0,1.0,6.0,6.065,6.625,0.0,6.02,4590.0
69.66273600000001,,802.0,8.5,7.63,248.93,159.12,8.813698630136987,12301.908,58.09199999999873,0.984,119.0,35.61,3.25,15.00884817125556,43.78,57.0,1.27,0.0,12.7,0.41,3.0,15.0,279.0,0.0,0.0,3.0,3.068,3.5,0.0,5.49,1742.8
35.175,4.717,588.8,9.402459999999998,6.5091,245.58,67.0,19.74264202600958,13709.70669,78.59330999999838,0.213,11.53063,42.208,39.838,5.241063248733071,52.5,82.22399999999999,0.2649,8.232,16.771,0.4689,2.8097,28.57,412.85,280.97,2.0,6.0,3.068,6.625,41.837,5.49,2.357799299999951e-09
26.703,8.915,437.0,10.633,6.77,248.2,69.0,9.700205338809036,6637.917159999999,23.98284000000058,0.105,8.941,19.2,40.7,6.813923873402364,38.7,45.5,0.27,4.9,16.7,0.4320000000000001,2.04,68.0,306.7,204.0,3.0,3.0,3.068,3.5,41.8,5.49,7.194852000000174e-10
15.0,0.666,675.0,23.803,6.97,212.43,50.0,12.68720054757016,119.856,379.544,0.061,6.208,7.4,62.1,6.946261626662225,30.0,79.4,0.22,7.0,30.8,0.851,3.19,14.0,473.3,319.0,2.0,3.0,2.067,3.5,77.0,5.49,1.138632e-08
10.744,13.527,495.0,4.505,6.59,248.35,68.0,0.134154688569473,17369.87437,47.02563000000009,0.234,2.832,2.2,81.8,8.74741121227034,15.8,65.0,0.24,6.0,7.7,0.111,2.43,20.0,346.7,243.0,3.0,4.0,3.068,4.5,19.2,6.02,1.410768900000003e-09
10.744,13.527,495.0,4.505,6.59,248.35,68.0,10.47775496235455,17369.87437,47.02563000000009,0.234,2.832,2.2,81.8,14.60663869851387,15.8,65.0,0.24,6.0,7.7,0.111,2.43,20.0,346.7,243.0,3.0,4.0,3.068,4.5,19.2,6.02,1.410768900000003e-09
11.85,5.999,495.0,4.505,6.59,246.92,75.0,11.37303216974675,17440.5,59.5,0.234,2.832,2.2,81.8,4.289575743330591,15.8,65.0,0.24,6.0,7.7,0.111,2.43,20.0,346.7,243.0,2.0,6.0,3.068,6.625,19.2,7.11,1.785e-09
22.099,1.121,478.0,13.176,6.86,236.47,49.0,12.04380561259411,3243.50634,33.09366,0.459,8.897,20.7,33.4,0.1960001646759391,45.1,55.5,0.28,5.0,18.4,0.61,2.14,45.0,335.0,214.0,2.0,6.0,3.068,6.625,46.0,5.49,9.928098e-10
7.742000000000001,0.529,495.0,4.505,6.59,225.21,49.0,23.03901437371663,519.9920000000001,164.208,0.234,2.832,2.2,81.8,3.6714996186973954,15.8,65.0,0.24,6.0,7.7,0.111,2.43,20.0,346.7,243.0,2.0,4.0,3.068,4.5,19.2,6.02,4.926239999999999e-09
26.169,0.057,598.0,3.666,6.76,90.62,61.0,15.33196440793977,76.95,94.05,0.151,25.372,13.2,42.7,0.2309476940382471,42.9,98.3,0.26,5.3,8.1,0.038,2.91,98.0,418.3,291.0,2.0,6.0,2.067,6.625,20.2,7.11,2.8215e-09
13.904,5.358,495.0,4.505,6.59,247.45,88.0,11.34565366187543,15621.72534,32.87465999999949,0.234,2.832,2.2,81.8,9.917573647888608,15.8,65.0,0.24,6.0,7.7,0.111,2.43,20.0,346.7,243.0,2.0,6.0,3.068,6.625,19.2,6.02,9.862397999999847e-10
23.2388,4.332,456.2,8.450159999999999,6.7036,246.84,65.0,19.89322381930185,12550.97868,106.3213200000009,0.3436,9.89248,12.694,50.67400000000001,3.302784406284475,35.752,52.964,0.4144,6.712,13.456,0.278,2.1692,15.52,320.1,216.92,2.0,6.0,3.068,6.625,32.752,6.02,3.189639600000028e-09
9.92,6.641,446.0,9.957,6.64,245.62,62.0,11.56194387405886,8520.82081,35.07919000000038,0.094,9.892,13.3,70.1,1.3611251470667738,16.0,47.0,0.61,4.9,15.7,0.338,2.06,25.0,311.7,206.0,3.0,4.0,3.068,4.5,39.1,6.02,1.052375700000011e-09
20.28,5.765,430.0,6.185,7.2,248.57,52.0,23.84941820670774,16778.47924,60.62076000000161,0.014,9.036,7.9,52.6,3.4642595975583403,39.0,49.1,0.34,6.4,10.5,0.301,1.97,32.0,301.7,197.0,3.0,6.0,3.068,6.625,26.3,6.02,1.8186228000000481e-09
40.95,7.69,566.0,9.491,6.53,167.88,78.0,3.945242984257358,5900.68997,37.41003000000001,0.194,11.269,26.5,19.9,4.98614807083882,52.5,76.6,0.32,7.7,16.6,0.448,2.69,28.0,396.7,269.0,3.0,3.0,2.067,3.5,41.4,3.91,1.1223009e-09
16.402,0.261,833.0,63.342,6.98,115.75,59.0,5.431895961670089,260.75,89.25,0.126,4.776,10.9,60.4,8.257000889001784,27.8,112.2,0.33,6.5,33.1,1.302,3.31,26.0,583.3,331.0,2.0,4.0,2.067,4.5,82.7,5.49,2.6775000000000003e-09
16.074,0.016,492.0,4.739,6.61,98.41,57.0,15.22792607802875,75.9984,9.2016,0.16,3.178,8.1,63.0,0.5425596072335619,28.2,61.5,0.23,6.8,8.3,0.133,2.5,18.0,343.3,249.0,2.0,8.0,2.067,8.625,21.6,8.18,2.76048e-10
