fold,mae,r2,method
0,3.217583430957114,0.5978791930595988,Proposed FIS
1,4.20688444144778,0.3824930847832829,Proposed FIS
2,3.376101787156654,0.5755547728613676,Proposed FIS
3,3.7210273043009114,0.4946324465855686,Proposed FIS
4,3.71243543090001,0.4393199962999147,Proposed FIS
0,4.0166309298039655,0.5390449158612975,Linear regression
1,4.467741864953694,0.43779992020870784,Linear regression
2,3.8691528877196597,0.5399795834509846,Linear regression
3,4.407249454098061,0.4637875256762132,Linear regression
4,3.9731162411640724,0.47813499559825,Linear regression
0,2.9873216768727446,0.5854273872493994,Decision tree
1,3.785216325708038,0.4682722400510638,Decision tree
2,3.502303746208464,0.4958762760942226,Decision tree
3,3.359567125145967,0.5722521850522726,Decision tree
4,3.0606584605434155,0.5810723249704679,Decision tree
0,3.7544937846846476,0.4981158393231424,SVR
1,4.265035098914611,0.41871120488879743,SVR
2,3.648124823027698,0.5421871725493065,SVR
3,4.021564511542229,0.46274414950030973,SVR
4,3.427663426360662,0.5122483578574425,SVR
